date,Food,Biofuels,Managed Forests,Unmanaged Forests,Protected Land
2005,1.5324,0.0008,1.62,2.47,0.207
2006,1.5444,0.0008,1.615,2.463,0.207
2007,1.5564,0.0008,1.611,2.455,0.207
2008,1.5684,0.0008,1.606,2.448,0.207
2009,1.5794,0.0008,1.602,2.44,0.207
2010,1.5903,0.0009,1.598,2.433,0.207
2011,1.6012,0.001,1.595,2.426,0.207
2012,1.6122,0.001,1.591,2.419,0.207
2013,1.6221,0.0011,1.588,2.412,0.207
2014,1.632,0.0012,1.585,2.405,0.207
2015,1.642,0.0012,1.582,2.398,0.207
2016,1.6519,0.0013,1.579,2.391,0.207
2017,1.6608,0.0014,1.576,2.384,0.207
2018,1.6707,0.0015,1.574,2.378,0.207
2019,1.6796,0.0016,1.571,2.371,0.207
2020,1.6875,0.0017,1.569,2.364,0.207
2021,1.6964,0.0018,1.567,2.357,0.207
2022,1.7053,0.0019,1.565,2.351,0.207
2023,1.7131,0.0021,1.564,2.344,0.207
2024,1.721,0.0022,1.562,2.338,0.207
2025,1.7288,0.0024,1.561,2.331,0.207
2026,1.7367,0.0025,1.559,2.325,0.207
2027,1.7435,0.0027,1.558,2.318,0.207
2028,1.7504,0.0028,1.557,2.312,0.207
2029,1.7582,0.003,1.557,2.306,0.207
2030,1.765,0.0032,1.556,2.299,0.207
2031,1.7708,0.0034,1.555,2.293,0.207
2032,1.7775,0.0037,1.555,2.287,0.207
2033,1.7843,0.0039,1.555,2.281,0.207
2034,1.7901,0.0041,1.555,2.274,0.207
2035,1.7958,0.0044,1.555,2.268,0.207
2036,1.8015,0.0047,1.555,2.262,0.207
2037,1.8072,0.005,1.555,2.256,0.207
2038,1.8129,0.0053,1.556,2.25,0.207
2039,1.8176,0.0056,1.556,2.244,0.2072
2040,1.8223,0.006,1.557,2.237,0.20772
2041,1.8259,0.0065,1.558,2.231,0.20854
2042,1.8216,0.0145,1.559,2.225,0.20966
2043,1.8193,0.021,1.56,2.219,0.21107
2044,1.8169,0.0264,1.561,2.213,0.21277
2045,1.8145,0.0314,1.562,2.207,0.21474
2046,1.8121,0.0361,1.564,2.201,0.21698
2047,1.8097,0.0405,1.565,2.195,0.21947
2048,1.8073,0.0448,1.567,2.189,0.22222
2049,1.8039,0.049,1.569,2.183,0.22522
2050,1.8004,0.0532,1.571,2.177,0.22845
2051,1.7969,0.0573,1.573,2.171,0.23192
2052,1.7924,0.0614,1.575,2.165,0.23561
2053,1.7879,0.0654,1.577,2.16,0.23953
2054,1.7834,0.0694,1.58,2.154,0.24365
2055,1.7778,0.0734,1.583,2.148,0.24799
2056,1.7733,0.0773,1.585,2.142,0.25253
2057,1.7667,0.0813,1.588,2.136,0.25726
2058,1.7611,0.0853,1.591,2.13,0.26219
2059,1.7545,0.0892,1.595,2.124,0.26731
2060,1.7479,0.0932,1.598,2.118,0.27262
2061,1.7413,0.0971,1.601,2.113,0.2781
2062,1.7336,0.101,1.605,2.107,0.28377
2063,1.726,0.1049,1.609,2.101,0.28958
2064,1.7183,0.1088,1.613,2.095,0.29544
2065,1.7096,0.1127,1.617,2.089,0.30133
2066,1.702,0.1165,1.621,2.083,0.30726
2067,1.6943,0.1204,1.625,2.077,0.31322
2068,1.6856,0.1242,1.63,2.071,0.31921
2069,1.6768,0.1281,1.634,2.065,0.32524
2070,1.6681,0.1319,1.639,2.059,0.3313
2071,1.6594,0.1356,1.644,2.053,0.33739
2072,1.6507,0.1394,1.65,2.047,0.3435
2073,1.6419,0.1431,1.655,2.041,0.34964
2074,1.6322,0.1468,1.66,2.035,0.35581
2075,1.6235,0.1503,1.666,2.029,0.362
2076,1.6138,0.1539,1.672,2.022,0.36821
2077,1.6041,0.1574,1.678,2.016,0.37445
2078,1.5953,0.1609,1.683,2.01,0.3807
2079,1.5856,0.1644,1.689,2.004,0.38697
2080,1.5769,0.1678,1.695,1.997,0.39326
2081,1.5682,0.1711,1.7,1.991,0.39956
2082,1.5595,0.1744,1.706,1.985,0.40588
2083,1.5508,0.1777,1.711,1.978,0.4122
2084,1.5421,0.1809,1.716,1.972,0.41854
2085,1.5335,0.184,1.722,1.966,0.42489
2086,1.5258,0.1872,1.727,1.959,0.43125
2087,1.5172,0.1902,1.732,1.953,0.43762
2088,1.5095,0.1933,1.737,1.947,0.44399
2089,1.5009,0.1962,1.742,1.94,0.45037
2090,1.4933,0.1991,1.747,1.934,0.45674
2091,1.4857,0.202,1.752,1.927,0.46312
2092,1.4781,0.2048,1.757,1.921,0.4695
2093,1.4705,0.2076,1.761,1.915,0.47588
2094,1.4629,0.2105,1.766,1.908,0.48225
2095,1.4553,0.2133,1.771,1.902,0.48861
2096,1.4477,0.2161,1.775,1.896,0.49498
2097,1.4412,0.2188,1.78,1.889,0.50133
2098,1.4336,0.2215,1.784,1.883,0.50767
2099,1.4271,0.2241,1.789,1.877,0.514
2100,1.4196,0.2267,1.793,1.87,0.52032
